,product_name,product_url,product_price,product_rating,product_review_count
52,"F Gear Fortune Navy Blue, Red 27 Liters Laptop Backpack (2700)",https://www.amazon.in/F-Gear-Fortune-Backpack-Navy-Blue/dp/B07B7K7212,747,4.1,491
53,PACKNBUY Diaper Bag for Babies Mother Hospital Maternity Baby Bags (Blue),https://www.amazon.in/PACKNBUY-Diaper-Mother-Maternity-Backpack/dp/B07Z853TJN,"1,499",4.2,13
54,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/uppercase-Professional-Backpack-resistant-sustainable/dp/B0BR1D4SL1,"1,800",4.9,17
55,"Storite Pack of 2 Heavy Duty Canvas Grocery Shopping Bags with Reinforced Handles (40x20x33-cm, Green)",https://www.amazon.in/Storite-Grocery-Shopping-Reinforced-40x20x33-cm/dp/B079T66RBW,519,4.3,"2,105"
56,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB42QFQ,324,4.2,50
57,Wooum Water Resistant Material Sling Bag/One Side Bag/Shoulder Bag/Messenger Bag/Office Messenger Bag/Travel Side Bag with 14.1 Inch Laptop Compartment -,https://www.amazon.in/Wooum-Resistant-Material-Messenger-Compartment/dp/B09KV7Y3KL,474.,3.9,220
58,Tommy Hilfiger Connor 23 Ltrs Black Laptop Backpack (TH/CONNORLAP01),https://www.amazon.in/Hilfiger-Connor-Backpack-TH-CONNORLAP20/dp/B07N8HPP97,"1,559",4.1,151
59,"Arctic Hunter Backpack 15.6 Inch Laptop Bag Water-Resistant Slim Business Backpack for Office Travel School Smart Bag with USB Port for Men and Women, Black",https://www.amazon.in/Backpack-Business-Computer-Luggage-Resistant/dp/B084LBMKMT,"2,659",4.3,115
60,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs BP032 (Teal-Red),https://www.amazon.in/ADISA-litres-Laptop-Backpack-Earphone/dp/B08RWCLFHY,499,4.0,164
61,Gear ECO1 24L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women- Grey-Black-Yellow,https://www.amazon.in/Gear-Polyester-Laptop-Backpack-LBPECONO10412/dp/B012NW0J30,854,4.2,"1,420"
62,"uppercase Laptop Backpack 1600EBP Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty",https://www.amazon.in/uppercase-Backpack-1600EBP1-resistant-sustainable/dp/B0B68ZS5G1,950,4.2,171
63,Gear Compact Business 18L Water Resistant Laptop Bag/Backpack/Office Bag For Men/Women - Indiaink,https://www.amazon.in/Gear-Compact-Business-Backpack-BUSCOMPACT052/dp/B08D76WDTV,684,4.2,"1,084"
64,"WALKENT 15.6"" Laptop Bag 27L (Craft) Anti-Theft, Waterproof, Expandable, External USB for Office College Men Women",https://www.amazon.in/WALKENT-Craft-Laptop-Bag-Anti-Theft/dp/B0978JT5HR,"2,365",4.2,362
65,Half Moon 35 L Casual Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School with Rain Cover (Black),https://www.amazon.in/Half-Moon-Resistant-Laptop-Backpack/dp/B09842K4RQ,699,3.9,300
66,Airish 45 ltrs (46 Cms)Backpack(ARU-202_Green),https://www.amazon.in/Casual-Travel-Backpack-School-College/dp/B09PVCF9F8,664,3.6,154
67,"Veneer Laptop Bag 15.6 Inch, Business Briefcase for Men Women, 15inch Water Resistant Messenger Shoulder Bag with Strap, Durable Office Bag, for Computer/Notebook/MacBook",https://www.amazon.in/Veneer-Business-Briefcase-Resistant-Messenger/dp/B08Z619V6Z,995,4.2,"2,992"
68,"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/uppercase-Professional-Anti-theft-resistant-sustainable/dp/B0BSH4H4DB,"2,300",4.2,12
69,HP 5 ltrs (2 cms)backpack(1D0M5PA_black),https://www.amazon.in/HP-Backpack-Laptop-Chromebook-1D0M5PA/dp/B08FM6X8KZ,"1,219",4.2,926
70,Wildcraft CL2 Laptop bagpack (Black),https://www.amazon.in/Wildcraft-CL2-laptop-bagpack-Black/dp/B00L14FKD6,"1,585",4.1,176
71,Half Moon 35 L Casual Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (Airport Blue),https://www.amazon.in/Half-Moon-Resistant-Laptop-Backpack/dp/B09B68N8LT,699,3.8,192
72,American Tourister Spin 49 cms Navy Laptop Backpack,https://www.amazon.in/American-Tourister-FS0-41-002/dp/B07S13B1HR,"1,699",4.2,"1,134"
73,Lavie Women's Mento Laptop Bag | Ladies Purse Handbag,https://www.amazon.in/Lavie-Womens-Laptop-Ladies-Handbag/dp/B0B7JJ8BB3,"1,749",4.8,8
74,Kore Regular Gym Bag,https://www.amazon.in/Kore-K-REGULAR-GYM-BAG-Regular-Gym-Bag/dp/B09VLK27NF,59,2.9,"3,848"
75,Protecta Oscar 360˚ Protection Waterproof 15.6 Inch Laptop Bag for Men & Women Ideal for Office & College with Soft Interiors & Retractable Handle - (Elephants Print),https://www.amazon.in/Protecta-Protection-Waterproof-Interiors-Retractable/dp/B0B6G648XY,"1,030",4.5,14
76,F Gear Samurai Black 30 liter Laptop Backpack Sch Bag,https://www.amazon.in/F-Gear-Samurai-Black-Laptop-Backpack/dp/B071F2M8CW,892,4.1,83
77,PAZZO Sky Tourister 22L (1 Compartment - Small Size for Daily Use) Casual Backpack with 1 Year Warranty (Blue),https://www.amazon.in/PAZZO-Sky-Tourister-22L-Compartment/dp/B07ZM9BL8Q,499,4.2,527
78,Wildcraft Streak 2.0 Plus Laptop Backpack 20L (Black),https://www.amazon.in/Wildcraft-Streak-Laptop-Backpack-Black/dp/B07YYLL4MP,"1,770",4.1,41
79,"Skybags Arthur 30 L Laptop Backpack (Grey), Free Size (PLBPARTHGRY)",https://www.amazon.in/Skybags-Arthur-Laptop-Backpack-Grey/dp/B07SRFGK6H,"1,499",3.9,587
80,Skybags New Neon 30 L Backpack (Purple),https://www.amazon.in/Skybags-New-Neon-Backpack-Purple/dp/B07SRHCF9R,999,4.3,100
81,xcluma Baby Diaper Nappy Changing Baby Diaper Bag Mother Bag Mummy Bag Handbag (4 Pcs Set- Pink),https://www.amazon.in/xcluma-Diaper-Changing-Mother-Handbag/dp/B07PFL5Z3W,999,4.3,"1,537"
82,Wildcraft 31.5 Ltrs Pack 2 Folk Navy Casual Backpack (12245_Folk_Navy)(HxWxD : 18.5x13x8)(inches),https://www.amazon.in/Wildcraft-Casual-Backpack-12245_Folk_Navy-HxWxD/dp/B083698S54,"1,535",4.3,66
83,wildcraft Nylon 40 ltrs Black Laptop Bag (Trident XL 2_Black),https://www.amazon.in/Wildcraft-Laptop-Trident-XL-2_Black/dp/B019DWD8SQ,"2,999",4.4,564
84,"HOUSAI: pack of 30 Plain white Paper Bags with Twisted Handles Suits in Gifting, Shopping & Food Packing, W/G/H = 8.5""X4""X11.5"" inch (Small)",https://www.amazon.in/HOUSAI-Twisted-Handles-Gifting-Shopping/dp/B09NW23HSV,558,3.9,9
85,"F Gear Talent Laptop Backpack With Rain Cover 32 Liters (Grey,Black)",https://www.amazon.in/F-Gear-Talent-Laptop-Backpack-Grey/dp/B078KS2FX1,931,4.4,"1,103"
86,Wildcraft Work Packs'18 25 Ltrs Blue Laptop Backpack (ACE),https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-ACE/dp/B07GS9ZWFX,"1,630",3.6,10
